t,x,y,z,battery
1783111637.243865,-3.7476906776428223,,14.75049114227295,100.0
1783111637.265395,-3.7489821910858154,,14.750061988830566,100.0
1783111637.284207,-3.747204303741455,,14.748335838317871,100.0
1783111637.3067331,-3.7462127208709717,,14.747821807861328,100.0
1783111637.3274062,-3.74727463722229,,14.751585006713867,100.0
1783111637.344658,-3.7486796379089355,,14.752944946289062,100.0
1783111637.379421,-3.747354745864868,,14.75296688079834,100.0
1783111637.393106,-3.746645212173462,,14.754140853881836,100.0
1783111637.405261,-3.746135711669922,,14.754414558410645,100.0
1783111637.425903,-3.745976448059082,,14.753156661987305,100.0
1783111637.4465978,-3.744706630706787,,14.754432678222656,100.0
1783111637.4645178,-3.743131637573242,,14.755573272705078,100.0
1783111637.484559,-3.7452900409698486,,14.754556655883789,100.0
1783111637.506368,-3.745988607406616,,14.754154205322266,100.0
1783111637.524647,-3.7451438903808594,,14.755850791931152,100.0
1783111637.5450041,-3.7447988986968994,,14.753482818603516,100.0
1783111637.564063,-3.744717597961426,,14.753457069396973,100.0
1783111637.5844722,-3.7447636127471924,,14.756174087524414,100.0
1783111637.607407,-3.7453880310058594,,14.754697799682617,100.0
1783111637.6243122,-3.7468583583831787,,14.756844520568848,100.0
1783111637.645754,-3.748948097229004,,14.757458686828613,100.0
1783111637.66419,-3.7507591247558594,,14.7598876953125,100.0
1783111637.683979,-3.747990131378174,,14.761648178100586,100.0
1783111637.706657,-3.746516704559326,,14.76200008392334,100.0
1783111637.7249029,-3.7445287704467773,,14.760814666748047,100.0
1783111637.7458718,-3.7452704906463623,,14.756857872009277,100.0
1783111637.764129,-3.747091293334961,,14.754922866821289,100.0
1783111637.783824,-3.7470622062683105,,14.756607055664062,100.0
1783111637.805583,-3.7478690147399902,,14.75681209564209,100.0
1783111637.82385,-3.7493419647216797,,14.755692481994629,100.0
1783111637.8449311,-3.7460668087005615,,14.754758834838867,100.0
1783111637.865748,-3.7478418350219727,,14.753580093383789,100.0
1783111637.883926,-3.750234603881836,,14.7518892288208,100.0
1783111637.903797,-3.7521238327026367,,14.751195907592773,100.0
1783111637.924753,-3.7540245056152344,,14.751834869384766,100.0
1783111637.944593,-3.754103183746338,,14.7515869140625,100.0
1783111637.9640598,-3.7547099590301514,,14.751643180847168,100.0
1783111637.984033,-3.755328893661499,,14.754314422607422,100.0
1783111638.005783,-3.7555761337280273,,14.752318382263184,100.0
1783111638.024957,-3.7559988498687744,,14.753067970275879,100.0
1783111638.04456,-3.755826473236084,,14.752655982971191,100.0
1783111638.0642219,-3.7561750411987305,,14.754650115966797,100.0
1783111638.084419,-3.757981777191162,,14.755112648010254,100.0
1783111638.1064541,-3.7566072940826416,,14.754094123840332,100.0
1783111638.124086,-3.754638433456421,,14.7555570602417,100.0
1783111638.144511,-3.7544093132019043,,14.755773544311523,100.0
1783111638.164324,-3.754232406616211,,14.753976821899414,100.0
1783111638.184552,-3.7552995681762695,,14.752493858337402,100.0
1783111638.204198,-3.7538650035858154,,14.754497528076172,100.0
1783111638.224544,-3.7549993991851807,,14.75408935546875,100.0
1783111638.244676,-3.757138252258301,,14.75124740600586,100.0
1783111638.264228,-3.7567858695983887,,14.753326416015625,100.0
1783111638.284582,-3.7573177814483643,,14.753911018371582,100.0
1783111638.3040361,-3.758867025375366,,14.755696296691895,100.0
1783111638.32509,-3.755495548248291,,14.754996299743652,100.0
1783111638.344029,-3.75323224067688,,14.755184173583984,100.0
1783111638.364532,-3.7507524490356445,,14.753952980041504,100.0
1783111638.3845692,-3.7510643005371094,,14.753744125366211,100.0
1783111638.4059892,-3.7484724521636963,,14.754974365234375,100.0
1783111638.4245288,-3.749558925628662,,14.754094123840332,100.0
1783111638.444306,-3.74796462059021,,14.7524995803833,100.0
1783111638.464378,-3.7475037574768066,,14.750971794128418,100.0
1783111638.484859,-3.7481024265289307,,14.749921798706055,100.0
1783111638.508469,-3.7477333545684814,,14.749358177185059,100.0
1783111638.524223,-3.7486202716827393,,14.749417304992676,100.0
1783111638.5439281,-3.747666120529175,,14.747464179992676,100.0
1783111638.56437,-3.746626377105713,,14.746720314025879,100.0
1783111638.5838091,-3.748326301574707,,14.744657516479492,100.0
1783111638.604852,-3.7468674182891846,,14.745088577270508,100.0
1783111638.624775,-3.7468225955963135,,14.74645709991455,100.0
1783111638.644904,-3.7483062744140625,,14.744686126708984,100.0
1783111638.663799,-3.7492125034332275,,14.746100425720215,100.0
1783111638.684742,-3.749724864959717,,14.74413776397705,100.0
1783111638.704083,-3.748292922973633,,14.742835998535156,100.0
1783111638.726937,-3.74963641166687,,14.742606163024902,100.0
1783111638.7450151,-3.7487475872039795,0.002298789331689477,14.745423316955566,100.0
1783111638.764283,-3.747373580932617,0.008477612398564816,14.746170043945312,100.0
1783111638.784308,-3.747830867767334,0.009041417390108109,14.746664047241211,100.0
1783111638.806205,-3.7491562366485596,0.009568793699145317,14.748882293701172,100.0
1783111638.825948,-3.7506182193756104,0.015416876412928104,14.746049880981445,100.0
1783111638.843989,-3.751875877380371,0.013684360310435295,14.746465682983398,100.0
1783111638.864377,-3.7520523071289062,0.016458285972476006,14.745786666870117,100.0
1783111638.883727,-3.7504971027374268,0.017523806542158127,14.744660377502441,100.0
1783111638.903785,-3.7505102157592773,0.017269192263484,14.745219230651855,100.0
1783111638.929255,-3.747105360031128,0.013971149921417236,14.745546340942383,100.0
1783111638.94449,-3.7457947731018066,0.013738001696765423,14.747159957885742,100.0
1783111638.96417,-3.743023157119751,0.01934449002146721,14.74997615814209,100.0
1783111638.984124,-3.7414369583129883,0.019336195662617683,14.75123405456543,100.0
1783111639.004808,-3.742556571960449,0.015547841787338257,14.752827644348145,100.0
1783111639.02722,-3.741305351257324,0.007625300902873278,14.7520170211792,100.0
1783111639.044776,-3.7397072315216064,0.006078001111745834,14.752022743225098,100.0
1783111639.063881,-3.7385175228118896,0.0047414363361895084,14.751579284667969,100.0
1783111639.0846121,-3.7402923107147217,0.0028490200638771057,14.753049850463867,100.0
1783111639.105549,-3.7424330711364746,4.7245644964277744e-05,14.754810333251953,100.0
1783111639.124555,-3.7459468841552734,,14.753154754638672,100.0
1783111639.185031,-3.747718572616577,,14.751017570495605,100.0
1783111639.185432,-3.747718572616577,,14.751017570495605,100.0
1783111639.185815,-3.747718572616577,,14.751017570495605,100.0
1783111639.20635,-3.749082326889038,,14.751291275024414,100.0
1783111639.226633,-3.7504961490631104,,14.749144554138184,100.0
1783111639.2471309,-3.75095272064209,,14.748023986816406,100.0
1783111639.2672498,-3.7491455078125,,14.750007629394531,100.0
1783111639.285173,-3.7477221488952637,,14.749273300170898,100.0
1783111639.306201,-3.748417615890503,,14.752022743225098,100.0
1783111639.3259368,-3.7477974891662598,,14.753280639648438,100.0
1783111639.344813,-3.746062994003296,,14.753973960876465,100.0
1783111639.364115,-3.743809938430786,,14.75124740600586,100.0
1783111639.383832,-3.7434659004211426,,14.750518798828125,100.0
1783111639.4049861,-3.7423832416534424,,14.75064754486084,100.0
1783111639.427437,-3.7446320056915283,,14.749368667602539,100.0
1783111639.44466,-3.7438127994537354,,14.75101375579834,100.0
